%time,field.seq,field.stamp,field.frame_id
1481431640223476886,25801,1468242486681000000,/camera
1481431640261755943,25802,1468242486715000000,/camera
1481431640291398048,25803,1468242486748000000,/camera
1481431640321876049,25804,1468242486781000000,/camera
1481431640360848903,25805,1468242486815000000,/camera
1481431640391999959,25806,1468242486848000000,/camera
1481431640426908969,25807,1468242486881000000,/camera
1481431640460450887,25808,1468242486915000000,/camera
1481431640492499113,25809,1468242486948000000,/camera
1481431640524007081,25810,1468242486981000000,/camera
1481431640557332992,25811,1468242487015000000,/camera
1481431640592890977,25812,1468242487048000000,/camera
1481431640624671936,25813,1468242487081000000,/camera
1481431640656774997,25814,1468242487115000000,/camera
1481431640692540884,25815,1468242487148000000,/camera
1481431640725856065,25816,1468242487181000000,/camera
1481431640761667013,25817,1468242487215000000,/camera
1481431640792678117,25818,1468242487248000000,/camera
1481431640824712991,25819,1468242487281000000,/camera
1481431640859272956,25820,1468242487314000000,/camera
1481431640890738964,25821,1468242487348000000,/camera
1481431640923060894,25822,1468242487381000000,/camera
1481431640957099914,25823,1468242487414000000,/camera
1481431640990447044,25824,1468242487448000000,/camera
1481431641028486013,25825,1468242487481000000,/camera
1481431641059783935,25826,1468242487514000000,/camera
1481431641092895984,25827,1468242487548000000,/camera
1481431641123012065,25828,1468242487581000000,/camera
1481431641155682086,25829,1468242487614000000,/camera
1481431641191344022,25830,1468242487648000000,/camera
1481431641222608089,25831,1468242487681000000,/camera
1481431641257538080,25832,1468242487714000000,/camera
1481431641289779901,25833,1468242487748000000,/camera
1481431641320950031,25834,1468242487781000000,/camera
1481431641355406045,25835,1468242487814000000,/camera
1481431641388475894,25836,1468242487848000000,/camera
1481431641421726942,25837,1468242487881000000,/camera
1481431641455820083,25838,1468242487914000000,/camera
1481431641488403081,25839,1468242487948000000,/camera
1481431641522283077,25840,1468242487981000000,/camera
1481431641554447889,25841,1468242488014000000,/camera
1481431641588304042,25842,1468242488048000000,/camera
1481431641624953985,25843,1468242488081000000,/camera
1481431641655391931,25844,1468242488114000000,/camera
1481431641697805881,25845,1468242488147000000,/camera
1481431641722997903,25846,1468242488181000000,/camera
1481431641763895988,25847,1468242488214000000,/camera
1481431641790390014,25848,1468242488247000000,/camera
1481431641822047948,25849,1468242488281000000,/camera
1481431641855211973,25850,1468242488314000000,/camera
1481431641888597011,25851,1468242488347000000,/camera
1481431641927413940,25852,1468242488381000000,/camera
1481431641956140041,25853,1468242488414000000,/camera
1481431641994405984,25854,1468242488447000000,/camera
